"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes__MIN","StudyAbroadGPT-7B - system/gpu.0.memoryAllocatedBytes__MAX"
"15075.410980392","11489116160","11489116160","11489116160"
"15085.413852314","11489116160","11489116160","11489116160"
"15095.411857564","11489116160","11489116160","11489116160"
"15105.41117416","11489116160","11489116160","11489116160"
"15115.411249659","11489116160","11489116160","11489116160"
"15125.41672082","11489116160","11489116160","11489116160"
"15135.415228059","11489116160","11489116160","11489116160"
"15145.411176723","11489116160","11489116160","11489116160"
"15155.411729769","11489116160","11489116160","11489116160"
"15165.413360727","11489116160","11489116160","11489116160"
"15175.410812727","11489116160","11489116160","11489116160"
"15185.411942164","11489116160","11489116160","11489116160"
"15195.411973417","11489116160","11489116160","11489116160"
"15205.411867284","11489116160","11489116160","11489116160"
"15215.411350429","11489116160","11489116160","11489116160"
"15225.417541196","11489116160","11489116160","11489116160"
"15235.414914398","11489116160","11489116160","11489116160"
"15245.411623677","11489116160","11489116160","11489116160"
"15255.415206611","11489116160","11489116160","11489116160"
"15265.414017487","11489116160","11489116160","11489116160"
"15275.411513892","11489116160","11489116160","11489116160"
"15285.411969837","11489116160","11489116160","11489116160"
"15295.411841214","11489116160","11489116160","11489116160"
"15305.412121217","11489116160","11489116160","11489116160"
"15315.411538617","11489116160","11489116160","11489116160"
"15325.410999965","11489116160","11489116160","11489116160"
"15335.41716732","11489116160","11489116160","11489116160"
"15345.410940977","11489116160","11489116160","11489116160"
"15355.412259862","11489116160","11489116160","11489116160"
"15365.415205916","11489116160","11489116160","11489116160"
"15375.411162648","11489116160","11489116160","11489116160"
"15385.413192088","11489116160","11489116160","11489116160"
"15395.411710031","11489116160","11489116160","11489116160"
"15405.411386136","11489116160","11489116160","11489116160"
"15415.416440351","11489116160","11489116160","11489116160"
"15425.415540426","11489116160","11489116160","11489116160"
"15435.417433668","11489116160","11489116160","11489116160"
"15445.411884161","11489116160","11489116160","11489116160"
"15455.414609053","11489116160","11489116160","11489116160"
"15465.414566273","11489116160","11489116160","11489116160"
"15475.41128586","11489116160","11489116160","11489116160"
"15485.411308863","11489116160","11489116160","11489116160"
"15495.415678946","11489116160","11489116160","11489116160"
"15505.415253652","11489116160","11489116160","11489116160"
"15515.411218755","11489116160","11489116160","11489116160"
"15525.411013961","11489116160","11489116160","11489116160"
"15535.414309967","11489116160","11489116160","11489116160"
"15545.413009217","11489116160","11489116160","11489116160"
"15555.411568636","11489116160","11489116160","11489116160"
"15565.41149475","11489116160","11489116160","11489116160"
"15575.412446627","11489116160","11489116160","11489116160"
"15585.411410415","11489116160","11489116160","11489116160"
"15595.411315349","11489116160","11489116160","11489116160"
"15605.414564638","11489116160","11489116160","11489116160"
"15615.413227602","11489116160","11489116160","11489116160"
"15625.415995838","11489116160","11489116160","11489116160"
"15635.411340892","11489116160","11489116160","11489116160"
"15645.414447519","11489116160","11489116160","11489116160"
"15655.411398083","11489116160","11489116160","11489116160"
"15665.411733601","11489116160","11489116160","11489116160"
